ArmyRef,VarCount,GroupName
IV/76,1,EARLY BURGUNDIAN 1363AD - 1471AD
IV/77,1,BLACK SHEEP 1378AD - 1469AD & WHITE SHEEP TURKOMAN 1387AD - 1504AD
IV/78,1,YI DYNASTY KOREAN 1392AD - 1598AD
IV/79,4,LATER SWISS 1400AD - 1522AD
IV/80,1,HUSSITE 1419AD - 1434AD & 1464AD - 1471AD
IV/81,1,INCA 1438AD - 1534AD
IV/82,2,FRENCH ORDONNANCE 1445AD - 1515AD
IV/83,3,THE "WARS OF THE ROSES" & TUDOR ENGLISH 1455AD - 1515AD
IV/84,2,MAPUCHE 1461AD - 1552AD
IV/85,2,BURGUNDIAN ORDONNANCE 1471AD - 1506AD
